run_id,source_center,model,method,seed,case_id,video_id,lesion_id,shape,hard_flat,morphology_group,cluster_id,n_frames,dice_mean
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case100,case100,case100,IIa,True,hard_flat_IIa,case100:case100,188,0.812541
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case10_1,case10,case10_1,IIa,True,hard_flat_IIa,case10_1:case10,213,0.618547
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case10_2,case10,case10_2,IIa,True,hard_flat_IIa,case10_2:case10,223,0.267804
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case11,case11,case11,IIa,True,hard_flat_IIa,case11:case11,113,0.716948
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case12_1,case12,case12_1,Is,False,non_flat,case12_1:case12,184,0.748848
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case12_2,case12,case12_2,Is,False,non_flat,case12_2:case12,248,0.634452
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case12_3,case12,case12_3,Is,False,non_flat,case12_3:case12,106,0.9083
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case13_1,case13,case13_1,Is,False,non_flat,case13_1:case13,98,0.618839
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case13_2,case13,case13_2,Is,False,non_flat,case13_2:case13,205,0.815189
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case13_3,case13,case13_3,Is,False,non_flat,case13_3:case13,176,0.843597
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case14_1,case14,case14_1,IIa,True,hard_flat_IIa,case14_1:case14,150,0.516369
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case14_2,case14,case14_2,IIa,True,hard_flat_IIa,case14_2:case14,150,0.553965
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case14_3,case14,case14_3,IIa,True,hard_flat_IIa,case14_3:case14,378,0.334245
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case14_4,case14,case14_4,IIa,True,hard_flat_IIa,case14_4:case14,145,0.347621
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case14_5,case14,case14_5,IIa,True,hard_flat_IIa,case14_5:case14,160,0.416727
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case14_6,case14,case14_6,IIa,True,hard_flat_IIa,case14_6:case14,200,0.312463
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case15_1,case15,case15_1,Is,False,non_flat,case15_1:case15,235,0.808877
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case15_2,case15,case15_2,Is,False,non_flat,case15_2:case15,150,0.870847
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case15_3,case15,case15_3,Is,False,non_flat,case15_3:case15,102,0.854213
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case16,case16,case16,Is,False,non_flat,case16:case16,199,0.512904
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case17_1,case17,case17_1,Is,False,non_flat,case17_1:case17,126,0.59529
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case17_2,case17,case17_2,Is,False,non_flat,case17_2:case17,178,0.862749
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case18_1,case18,case18_1,Is,False,non_flat,case18_1:case18,91,0.550897
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case18_2,case18,case18_2,Is,False,non_flat,case18_2:case18,152,0.690862
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case19,case19,case19,IIa,True,hard_flat_IIa,case19:case19,96,0.056501
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case1_1,case1,case1_1,Is,False,non_flat,case1_1:case1,150,0.581583
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case1_2,case1,case1_2,Is,False,non_flat,case1_2:case1,216,0.853094
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case1_3,case1,case1_3,Is,False,non_flat,case1_3:case1,161,0.810805
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case20_1,case20,case20_1,IIa,True,hard_flat_IIa,case20_1:case20,150,0.0
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case20_10,case20,case20_10,IIa,True,hard_flat_IIa,case20_10:case20,150,0.488761
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case20_11,case20,case20_11,IIa,True,hard_flat_IIa,case20_11:case20,150,0.645343
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case20_12,case20,case20_12,IIa,True,hard_flat_IIa,case20_12:case20,156,0.470444
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case20_13,case20,case20_13,IIa,True,hard_flat_IIa,case20_13:case20,150,0.631679
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case20_14,case20,case20_14,IIa,True,hard_flat_IIa,case20_14:case20,150,0.633004
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case20_15,case20,case20_15,IIa,True,hard_flat_IIa,case20_15:case20,150,0.671358
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case20_16,case20,case20_16,IIa,True,hard_flat_IIa,case20_16:case20,150,0.696779
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case20_17,case20,case20_17,IIa,True,hard_flat_IIa,case20_17:case20,150,0.735192
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case20_18,case20,case20_18,IIa,True,hard_flat_IIa,case20_18:case20,150,0.670995
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case20_19,case20,case20_19,IIa,True,hard_flat_IIa,case20_19:case20,118,0.469181
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case20_2,case20,case20_2,IIa,True,hard_flat_IIa,case20_2:case20,205,0.102544
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case20_20,case20,case20_20,IIa,True,hard_flat_IIa,case20_20:case20,138,0.380416
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case20_3,case20,case20_3,IIa,True,hard_flat_IIa,case20_3:case20,148,0.328513
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case20_4,case20,case20_4,IIa,True,hard_flat_IIa,case20_4:case20,150,0.329561
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case20_5,case20,case20_5,IIa,True,hard_flat_IIa,case20_5:case20,191,0.461749
srcC1_polyp_pvt_warp_alpha100_seed0_L1isolation,C1,polyp_pvt,warp_alpha100,0,case20_6,case20,case20_6,IIa,True,hard_flat_IIa,case20_6:case20,150,0.5806
