method,n_runs,n_heldout_centers_per_run,polypgen_center_macro_dice,polypgen_delta_vs_floor,polypgen_delta_ci_low,polypgen_delta_ci_high,polypgen_positive_cells_of_6,sunseg_all_dice,sunseg_hard_flat_dice,sunseg_hard_flat_hd95_px,sunseg_hard_flat_weighted_fbeta,sunseg_hard_flat_boundary_iou,inference_status
CCSDG,6,5,0.7528870662053425,0.004551517963409431,-0.011474066927346822,0.020577102854165683,4,0.7213735851832436,0.5754125640180104,97.01748036938535,0.5268043389626624,0.3573479477521355,descriptive_registry; inferential claims use F1-F6 tables
CSDG,6,5,0.7509649674097697,0.0026294191678365073,-0.026834087951211266,0.03209292628688428,4,0.7091963667619687,0.5583099616118564,102.26359206214003,0.5133337527326911,0.3482351659117779,descriptive_registry; inferential claims use F1-F6 tables
DSU,6,5,0.7470832149187724,-0.0012523333231608074,-0.025961353789168064,0.023456687142846447,3,0.7015468448096608,0.5609774236122901,98.05096490989648,0.5182331990264306,0.3481683023202984,descriptive_registry; inferential claims use F1-F6 tables
MixStyle,6,5,0.7388554354508718,-0.009480112791061404,-0.02877916399373793,0.009818938411615121,3,0.7124981258454369,0.5662723821254669,100.01300567627256,0.5209106573237556,0.3551423617575349,descriptive_registry; inferential claims use F1-F6 tables
SLAug,6,5,0.7199621975421905,-0.028373350699742634,-0.04896722632471337,-0.0077794750747719014,0,0.7255322915495687,0.6011411539967763,77.71490460881427,0.5368384361006918,0.3610814734918277,descriptive_registry; inferential claims use F1-F6 tables
fourier_amp_aug,6,5,0.7401415884494781,-0.008193959792455038,-0.031955702505792626,0.015567782920882551,3,0.7185939878206954,0.5776870422266853,96.9322976378905,0.5289792113187145,0.3587531387584671,descriptive_registry; inferential claims use F1-F6 tables
ibn_whitening,6,5,0.7433294653892517,-0.0050060828526814665,-0.028224553985584794,0.018212388280221863,2,0.691035497509283,0.5381856329514922,107.63707994500032,0.4953467806484402,0.335622328128854,descriptive_registry; inferential claims use F1-F6 tables
spectral_consistency,6,5,0.740164190530777,-0.008171357711156235,-0.03252339207764916,0.016180676655336693,3,0.7113960287836912,0.5693964386243786,91.280288036098,0.514958462030685,0.352187879517668,descriptive_registry; inferential claims use F1-F6 tables
spectral_ibn_combo,6,5,0.7389083842436471,-0.009427163998285934,-0.03360906887534312,0.014754740878771254,2,0.7077401683316883,0.5500749095644887,111.14759222994056,0.5070519933580385,0.3423623169822331,descriptive_registry; inferential claims use F1-F6 tables
strong_aug_floor,6,5,0.7483355482419332,0.0,0.0,0.0,0,0.7182559711983555,0.5761243331380284,90.86627602956376,0.5320561610249047,0.3567117316966117,descriptive_registry; inferential claims use F1-F6 tables
