candidate,reference,metric,morphology_group,n_cells,mean_delta,positive_cells,ci_low,ci_high,paired_t_p,comparison_id,ci_source,cell_deltas_json,holm_family,paired_t_p_holm
joint_affine_floor,strong_aug_floor,dice_mean,hard_flat_IIa,6,-0.0070639782220595455,3,-0.034993399529548413,0.020865443085429324,0.5442758804621239,JA1,paired_t_6_source_seed_cells,"[-0.03459167821358755, -0.011190503280286812, 0.0049015602685148485, 0.006105059916660549, 0.031044133493594583, -0.03865244151725289]","F3-new:JA1,JA2,JA4",0.5442758804621239
warp_alpha100,joint_affine_floor,dice_mean,hard_flat_IIa,6,-0.09731329157594865,0,-0.15513788377700674,-0.039488699374890544,0.007527449468346229,JA2,paired_t_6_source_seed_cells,"[-0.09996437243687167, -0.06411724499603061, -0.06795652655714285, -0.20400497379469923, -0.09304710617731277, -0.054789525493634694]","F3-new:JA1,JA2,JA4",0.02258234840503869
SLAug,warp_alpha100,dice_mean,hard_flat_IIa,6,0.129394090656756,6,0.06304405619937999,0.19574412511413203,0.004059037012750938,JA3,paired_t_6_source_seed_cells,"[0.14607076912917222, 0.09900918072492099, 0.06128384335226994, 0.24483440124650607, 0.12386684088858707, 0.10129950859907977]",F2/F5-existing:not-recomputed,
SLAug,joint_affine_floor,dice_mean,hard_flat_IIa,6,0.032080799080807375,5,0.011129992545070591,0.05303160561654416,0.011001827558373572,JA4,paired_t_6_source_seed_cells,"[0.046106396692300544, 0.03489193572889038, -0.006672683204872909, 0.04082942745180684, 0.030819734711274305, 0.046509983105445074]","F3-new:JA1,JA2,JA4",0.02258234840503869
SLAug,strong_aug_floor,dice_mean,hard_flat_IIa,6,0.02501682085874783,5,-0.0008349385091919632,0.050868580226687624,0.055326217302884416,TOTAL,paired_t_6_source_seed_cells,"[0.011514718478712993, 0.023701432448603565, -0.0017711229363580605, 0.04693448736846739, 0.06186386820486889, 0.007857541588192185]",F1-existing:not-recomputed,
joint_affine_floor,strong_aug_floor,hd95_px_mean,hard_flat_IIa,6,3.546153787469374,4,-9.28554093900836,16.377848513947107,0.5092061003143822,JA1,paired_t_6_source_seed_cells,"[17.593517271316273, 7.757583612174059, -6.624305632587408, 12.099762331564719, -15.200316426660066, 5.650681569008668]","F3-new:JA1,JA2,JA4",0.5092061003143822
warp_alpha100,joint_affine_floor,hd95_px_mean,hard_flat_IIa,6,28.871407198816872,5,-10.594825657909706,68.33764005554345,0.11880012726748118,JA2,paired_t_6_source_seed_cells,"[40.28765032141503, -6.015939696596547, 1.7868880129226596, 95.61080016097976, 35.0157077762982, 6.543336617882105]","F3-new:JA1,JA2,JA4",0.23760025453496236
SLAug,warp_alpha100,hd95_px_mean,hard_flat_IIa,6,-45.56893240703573,0,-91.66099816706605,0.5231333529945914,0.05180501577251308,JA3,paired_t_6_source_seed_cells,"[-62.87935802967523, -16.089758643268524, -2.7688229536742455, -124.16917220724227, -43.434358640488796, -24.072123967865366]",F2/F5-existing:not-recomputed,
SLAug,joint_affine_floor,hd95_px_mean,hard_flat_IIa,6,-16.69752520821887,0,-27.408762135645087,-5.986288280792653,0.010249664708126046,JA4,paired_t_6_source_seed_cells,"[-22.591707708260202, -22.10569833986507, -0.9819349407515858, -28.558372046262505, -8.418650864190596, -17.52878734998326]","F3-new:JA1,JA2,JA4",0.030748994124378138
SLAug,strong_aug_floor,hd95_px_mean,hard_flat_IIa,6,-13.151371420749497,0,-20.124942309599454,-6.17780053189954,0.0046827310788059556,TOTAL,paired_t_6_source_seed_cells,"[-4.998190436943929, -14.348114727691012, -7.606240573338994, -16.458609714697786, -23.618967290850662, -11.878105780974593]",F1-existing:not-recomputed,
joint_affine_floor,strong_aug_floor,weighted_fbeta_mean,hard_flat_IIa,6,-0.008659324389520329,2,-0.05626896638101509,0.038950317601974434,0.6597808048212123,JA1,paired_t_6_source_seed_cells,"[-0.059633562929722994, -0.024155061903714248, 0.029925532627258056, -0.023848249836035507, 0.061893542296998116, -0.036138146591905396]","F3-new:JA1,JA2,JA4",0.7527653650576929
warp_alpha100,joint_affine_floor,weighted_fbeta_mean,hard_flat_IIa,6,-0.1331115458171472,0,-0.1793935988480284,-0.08682949278626599,0.0007121303094017264,JA2,paired_t_6_source_seed_cells,"[-0.09053426940702436, -0.11688445895974231, -0.13710465440100295, -0.194265995765392, -0.17394445513757506, -0.08593544123214653]","F3-new:JA1,JA2,JA4",0.002136390928205179
SLAug,warp_alpha100,weighted_fbeta_mean,hard_flat_IIa,6,0.14655314528245464,6,0.09713342919909879,0.1959728613658105,0.0006176688230398735,JA3,paired_t_6_source_seed_cells,"[0.14573225032524473, 0.1458192633422683, 0.09141660560958731, 0.21888677434382592, 0.17542258187143445, 0.10204139620236702]",F2/F5-existing:not-recomputed,
