multiplicity_family,stratum,candidate,reference,model,metric,source_center,seed,delta,n_cases,n_videos
F1,hard_flat_IIa,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C1,0,0.011514752475247528,101,34
F1,hard_flat_IIa,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C1,1,0.023701405940594066,101,34
F1,hard_flat_IIa,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C1,2,-0.0017710792079207933,101,34
F1,hard_flat_IIa,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C3,0,0.04693440594059405,101,34
F1,hard_flat_IIa,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C3,1,0.0618638316831683,101,34
F1,hard_flat_IIa,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C3,2,0.007857455445544555,101,34
F1,hard_flat_IIa,CCSDG,strong_aug_floor,polyp_pvt,dice_mean,C1,0,-0.04826084158415842,101,34
F1,hard_flat_IIa,CCSDG,strong_aug_floor,polyp_pvt,dice_mean,C1,1,0.01609883168316832,101,34
F1,hard_flat_IIa,CCSDG,strong_aug_floor,polyp_pvt,dice_mean,C1,2,0.05043838613861386,101,34
F1,hard_flat_IIa,CCSDG,strong_aug_floor,polyp_pvt,dice_mean,C3,0,0.01673170297029703,101,34
F1,hard_flat_IIa,CCSDG,strong_aug_floor,polyp_pvt,dice_mean,C3,1,-0.007386940594059407,101,34
F1,hard_flat_IIa,CCSDG,strong_aug_floor,polyp_pvt,dice_mean,C3,2,-0.03189183168316831,101,34
F1,hard_flat_IIa,CSDG,strong_aug_floor,polyp_pvt,dice_mean,C1,0,-0.038661178217821786,101,34
F1,hard_flat_IIa,CSDG,strong_aug_floor,polyp_pvt,dice_mean,C1,1,-0.052006990099009894,101,34
F1,hard_flat_IIa,CSDG,strong_aug_floor,polyp_pvt,dice_mean,C1,2,0.05381164356435642,101,34
F1,hard_flat_IIa,CSDG,strong_aug_floor,polyp_pvt,dice_mean,C3,0,-0.0030818910891089145,101,34
F1,hard_flat_IIa,CSDG,strong_aug_floor,polyp_pvt,dice_mean,C3,1,0.026373514851485157,101,34
F1,hard_flat_IIa,CSDG,strong_aug_floor,polyp_pvt,dice_mean,C3,2,-0.09332134653465343,101,34
F1,hard_flat_IIa,DSU,strong_aug_floor,polyp_pvt,dice_mean,C1,0,-0.03290376237623762,101,34
F1,hard_flat_IIa,DSU,strong_aug_floor,polyp_pvt,dice_mean,C1,1,0.028605148514851495,101,34
F1,hard_flat_IIa,DSU,strong_aug_floor,polyp_pvt,dice_mean,C1,2,-0.027689594059405943,101,34
F1,hard_flat_IIa,DSU,strong_aug_floor,polyp_pvt,dice_mean,C3,0,-0.0013012376237623807,101,34
F1,hard_flat_IIa,DSU,strong_aug_floor,polyp_pvt,dice_mean,C3,1,0.03822719801980198,101,34
F1,hard_flat_IIa,DSU,strong_aug_floor,polyp_pvt,dice_mean,C3,2,-0.09581923762376235,101,34
F1,hard_flat_IIa,MixStyle,strong_aug_floor,polyp_pvt,dice_mean,C1,0,-0.01661615841584158,101,34
F1,hard_flat_IIa,MixStyle,strong_aug_floor,polyp_pvt,dice_mean,C1,1,-0.00962905940594059,101,34
