candidate,reference,model,metric,n_sources,n_source_seed_cells,n_paired_cases,n_paired_videos,mean_delta,cell_t_ci_low,cell_t_ci_high,supporting_video_cluster_ci_low,supporting_video_cluster_ci_high,positive_cells,paired_t_p,wilcoxon_p,exact_sign_flip_p,stratum,multiplicity_family,holm_p
SLAug,strong_aug_floor,polyp_pvt,dice_mean,2,6,101,34,0.02501679537953795,-0.0008349363161699007,0.050868527075245806,-0.0044233185798956826,0.061464704016748244,5,0.05532620854762234,0.0625,0.0625,hard_flat_IIa,F1,0.5532620854762234
CCSDG,strong_aug_floor,polyp_pvt,dice_mean,2,6,101,34,-0.0007117821782178212,-0.038494024318749674,0.03707045996231403,-0.03510161808080123,0.029287494991312186,3,0.963250533829961,1.0,1.0,hard_flat_IIa,F1,1.0
CSDG,strong_aug_floor,polyp_pvt,dice_mean,2,6,101,34,-0.01781437458745874,-0.07453232566465656,0.03890357648973909,-0.07115263787055337,0.025284345694444432,2,0.4561190676875388,0.5625,0.4375,hard_flat_IIa,F1,1.0
DSU,strong_aug_floor,polyp_pvt,dice_mean,2,6,101,34,-0.015146914191419137,-0.0664199593675174,0.036126130984679136,-0.06100098391485699,0.02244503366666665,2,0.48186477392375143,0.6875,0.5625,hard_flat_IIa,F1,1.0
MixStyle,strong_aug_floor,polyp_pvt,dice_mean,2,6,101,34,-0.009851970297029703,-0.020853074648648703,0.0011491340545892962,-0.04246893467684522,0.019625951367016614,1,0.06959254790409328,0.09375,0.09375,hard_flat_IIa,F1,0.6263329311368395
fourier_amp_aug,strong_aug_floor,polyp_pvt,dice_mean,2,6,101,34,0.0015627079207920756,-0.06572009173874717,0.06884550758033132,-0.050484017263726366,0.05066388083189777,3,0.9547040279445104,1.0,0.9375,hard_flat_IIa,F1,1.0
ibn_whitening,strong_aug_floor,polyp_pvt,dice_mean,2,6,101,34,-0.03793871287128713,-0.11395441118174315,0.038076985439168896,-0.1083056243725775,0.01730819748029278,1,0.255757681961721,0.21875,0.25,hard_flat_IIa,F1,1.0
spectral_consistency,strong_aug_floor,polyp_pvt,dice_mean,2,6,101,34,-0.006727884488448845,-0.05663304387773386,0.043177274900836164,-0.04930604177040314,0.032953180839773735,3,0.7430379300095734,0.84375,0.78125,hard_flat_IIa,F1,1.0
spectral_ibn_combo,strong_aug_floor,polyp_pvt,dice_mean,2,6,101,34,-0.026049420792079208,-0.0816068331432325,0.02950799155907408,-0.05576653036538462,0.013336071590909096,2,0.2820209579753272,0.4375,0.3125,hard_flat_IIa,F1,1.0
SLAug_official,strong_aug_floor,polyp_pvt,dice_mean,2,6,101,34,0.03116225151356679,-0.030462088002462032,0.09278659102959562,-0.019540298574654984,0.07522553866266694,4,0.250334189552854,0.3125,0.25,hard_flat_IIa,F1,1.0
SLAug,strong_aug_floor,polyp_pvt,dice_mean,2,6,285,100,0.007276302923976609,-0.01052350273391284,0.02507610858186606,-0.007703106555745167,0.023592356485832633,4,0.34145455760693005,0.3125,0.34375,all,F1-all,1.0
CCSDG,strong_aug_floor,polyp_pvt,dice_mean,2,6,285,100,0.0031176076023391812,-0.018823936473494323,0.025059151678172683,-0.01403629886664704,0.020477775076986615,3,0.7298692402049798,0.6875,0.6875,all,F1-all,1.0
CSDG,strong_aug_floor,polyp_pvt,dice_mean,2,6,285,100,-0.009059597660818713,-0.04427132159209644,0.026152126270459007,-0.03699509299528361,0.017569064740986226,3,0.5376222795149029,0.6875,0.5625,all,F1-all,1.0
DSU,strong_aug_floor,polyp_pvt,dice_mean,2,6,285,100,-0.01670912105263158,-0.056013547417523214,0.022595305312260054,-0.04788726489438799,0.009794349152727765,3,0.3243120415535655,0.5625,0.375,all,F1-all,1.0
MixStyle,strong_aug_floor,polyp_pvt,dice_mean,2,6,285,100,-0.0057578508771929824,-0.014515053333332317,0.002999351578946351,-0.020126348620771842,0.00767751190064222,1,0.15179120659913026,0.15625,0.15625,all,F1-all,1.0
fourier_amp_aug,strong_aug_floor,polyp_pvt,dice_mean,2,6,285,100,0.00033801286549707776,-0.036397525971195575,0.037073551702189726,-0.026270467417566824,0.026551167452608788,4,0.9820446648941241,0.84375,0.96875,all,F1-all,1.0
ibn_whitening,strong_aug_floor,polyp_pvt,dice_mean,2,6,285,100,-0.027220477777777776,-0.08156558098453631,0.027124625428980757,-0.0687037709098908,0.00648668864725985,2,0.25427290481531883,0.3125,0.25,all,F1-all,1.0
spectral_consistency,strong_aug_floor,polyp_pvt,dice_mean,2,6,285,100,-0.0068599374269005834,-0.048468210328880275,0.03474833547507911,-0.03894679241427262,0.022190352986810546,3,0.6893181552927423,0.6875,0.65625,all,F1-all,1.0
spectral_ibn_combo,strong_aug_floor,polyp_pvt,dice_mean,2,6,285,100,-0.010515805263157894,-0.03553372967213325,0.014502119145817467,-0.027122550462360142,0.009717355836442766,2,0.329260651953155,0.3125,0.3125,all,F1-all,1.0
SLAug_official,strong_aug_floor,polyp_pvt,dice_mean,2,6,285,100,0.006897075381047488,-0.03275201044367773,0.04654616120577271,-0.022140447892272184,0.03542448126920045,3,0.6734644143120901,0.6875,0.71875,all,F1-all,1.0
