multiplicity_family,comparison_id,candidate,reference,model,metric,source_center,seed,delta,n_cases,n_videos,delta_left,delta_right
F4-shape,IIa,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C1,0,0.011514752475247528,101.0,34.0,,
F4-shape,IIa,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C1,1,0.023701405940594066,101.0,34.0,,
F4-shape,IIa,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C1,2,-0.0017710792079207933,101.0,34.0,,
F4-shape,IIa,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C3,0,0.04693440594059405,101.0,34.0,,
F4-shape,IIa,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C3,1,0.0618638316831683,101.0,34.0,,
F4-shape,IIa,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C3,2,0.007857455445544555,101.0,34.0,,
F4-shape,Is,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C1,0,0.002722343283582085,134.0,49.0,,
F4-shape,Is,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C1,1,0.005903402985074624,134.0,49.0,,
F4-shape,Is,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C1,2,-0.012799343283582091,134.0,49.0,,
F4-shape,Is,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C3,0,-0.0010952611940298494,134.0,49.0,,
F4-shape,Is,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C3,1,0.026422731343283587,134.0,49.0,,
F4-shape,Is,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C3,2,-0.000262619402985067,134.0,49.0,,
F4-shape,Ip,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C1,0,-0.02291103571428573,28.0,8.0,,
F4-shape,Ip,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C1,1,-0.024527357142857146,28.0,8.0,,
F4-shape,Ip,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C1,2,-0.0908746785714286,28.0,8.0,,
F4-shape,Ip,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C3,0,-0.0009648571428571324,28.0,8.0,,
F4-shape,Ip,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C3,1,-0.009271464285714277,28.0,8.0,,
F4-shape,Ip,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C3,2,-0.032834428571428584,28.0,8.0,,
F4-shape,Isp,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C1,0,0.007643272727272721,22.0,9.0,,
F4-shape,Isp,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C1,1,0.004234545454545438,22.0,9.0,,
F4-shape,Isp,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C1,2,-0.015170818181818172,22.0,9.0,,
F4-shape,Isp,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C3,0,0.014347318181818182,22.0,9.0,,
F4-shape,Isp,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C3,1,-0.007380181818181821,22.0,9.0,,
F4-shape,Isp,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C3,2,-0.023600545454545454,22.0,9.0,,
F4-shape,IIa_minus_Ip,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C1,0,0.03442578818953326,,,0.011514752475247528,-0.02291103571428573
F4-shape,IIa_minus_Ip,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C1,1,0.04822876308345121,,,0.023701405940594066,-0.024527357142857146
F4-shape,IIa_minus_Ip,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C1,2,0.08910359936350781,,,-0.0017710792079207933,-0.0908746785714286
F4-shape,IIa_minus_Ip,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C3,0,0.04789926308345119,,,0.04693440594059405,-0.0009648571428571324
F4-shape,IIa_minus_Ip,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C3,1,0.07113529596888257,,,0.0618638316831683,-0.009271464285714277
F4-shape,IIa_minus_Ip,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C3,2,0.04069188401697314,,,0.007857455445544555,-0.032834428571428584
F4-size,small,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C1,0,0.023241294736842114,95.0,40.0,,
F4-size,small,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C1,1,0.017828873684210524,95.0,40.0,,
F4-size,small,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C1,2,-0.032265642105263156,95.0,40.0,,
F4-size,small,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C3,0,0.03465709473684211,95.0,40.0,,
F4-size,small,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C3,1,0.03934483157894738,95.0,40.0,,
F4-size,small,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C3,2,0.01132576842105264,95.0,40.0,,
F4-size,mid,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C1,0,-0.0001584105263157916,95.0,58.0,,
F4-size,mid,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C1,1,0.01173341052631579,95.0,58.0,,
F4-size,mid,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C1,2,0.003950421052631582,95.0,58.0,,
F4-size,mid,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C3,0,0.0316897052631579,95.0,58.0,,
F4-size,mid,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C3,1,0.05194957894736841,95.0,58.0,,
F4-size,mid,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C3,2,0.006422568421052633,95.0,58.0,,
F4-size,large,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C1,0,-0.011983652631578955,95.0,38.0,,
F4-size,large,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C1,1,-0.0022855263157894722,95.0,38.0,,
F4-size,large,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C1,2,-0.02191888421052632,95.0,38.0,,
F4-size,large,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C3,0,-0.014954852631578945,95.0,38.0,,
F4-size,large,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C3,1,0.007304831578947369,95.0,38.0,,
F4-size,large,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C3,2,-0.02490795789473684,95.0,38.0,,
F4-size,large_minus_small,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C1,0,-0.03522494736842107,,,-0.011983652631578955,0.023241294736842114
F4-size,large_minus_small,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C1,1,-0.020114399999999998,,,-0.0022855263157894722,0.017828873684210524
F4-size,large_minus_small,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C1,2,0.010346757894736835,,,-0.02191888421052632,-0.032265642105263156
F4-size,large_minus_small,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C3,0,-0.049611947368421054,,,-0.014954852631578945,0.03465709473684211
F4-size,large_minus_small,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C3,1,-0.03204000000000001,,,0.007304831578947369,0.03934483157894738
F4-size,large_minus_small,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C3,2,-0.036233726315789486,,,-0.02490795789473684,0.01132576842105264
