multiplicity_family,candidate,reference,model,metric,higher_is_better,source_center,seed,delta,n_cases,n_videos,improvement
F5-HD95,SLAug,warp_alpha015,polyp_pvt,hd95_px_mean,False,C1,0,-5.122479101966266,101,34,5.122479101966266
F5-HD95,SLAug,warp_alpha015,polyp_pvt,hd95_px_mean,False,C1,1,-11.210415610217549,101,34,11.210415610217549
F5-HD95,SLAug,warp_alpha015,polyp_pvt,hd95_px_mean,False,C1,2,8.475718663015225,101,34,-8.475718663015225
F5-HD95,SLAug,warp_alpha015,polyp_pvt,hd95_px_mean,False,C3,0,-4.81796236354085,101,34,4.81796236354085
F5-HD95,SLAug,warp_alpha015,polyp_pvt,hd95_px_mean,False,C3,1,-40.00327884999899,101,34,40.00327884999899
F5-HD95,SLAug,warp_alpha015,polyp_pvt,hd95_px_mean,False,C3,2,-11.776766199153268,101,34,11.776766199153268
F5-HD95,SLAug,warp_alpha100,polyp_pvt,hd95_px_mean,False,C1,0,-62.87935802967524,101,34,62.87935802967524
F5-HD95,SLAug,warp_alpha100,polyp_pvt,hd95_px_mean,False,C1,1,-16.089758643268507,101,34,16.089758643268507
F5-HD95,SLAug,warp_alpha100,polyp_pvt,hd95_px_mean,False,C1,2,-2.768822953674231,101,34,2.768822953674231
F5-HD95,SLAug,warp_alpha100,polyp_pvt,hd95_px_mean,False,C3,0,-124.16917220724228,101,34,124.16917220724228
F5-HD95,SLAug,warp_alpha100,polyp_pvt,hd95_px_mean,False,C3,1,-43.434358640488774,101,34,43.434358640488774
F5-HD95,SLAug,warp_alpha100,polyp_pvt,hd95_px_mean,False,C3,2,-24.07212396786537,101,34,24.07212396786537
F5-HD95,SLAug,warp_shift_only,polyp_pvt,hd95_px_mean,False,C1,0,-12.00731282435268,101,34,12.00731282435268
F5-HD95,SLAug,warp_shift_only,polyp_pvt,hd95_px_mean,False,C1,1,-20.89205663953334,101,34,20.89205663953334
