candidate,reference,model,metric,n_sources,n_source_seed_cells,n_paired_cases,n_paired_videos,mean_delta,cell_t_ci_low,cell_t_ci_high,supporting_video_cluster_ci_low,supporting_video_cluster_ci_high,positive_cells,paired_t_p,wilcoxon_p,exact_sign_flip_p,multiplicity_family,higher_is_better,mean_improvement,improved_cells,improvement_cell_t_ci_low,improvement_cell_t_ci_high,improvement_supporting_ci_low,improvement_supporting_ci_high,holm_p
SLAug,warp_alpha015,polyp_pvt,hd95_px_mean,2,6,101,34,-10.742530576976952,-27.621857371635073,6.136796217681168,-27.09255047001851,1.910507756294291,1,0.16276697510491445,0.15625,0.125,F5-HD95,False,10.742530576976952,5,-6.136796217681168,27.621857371635073,-1.910507756294291,27.09255047001851,0.48830092531474334
SLAug,warp_alpha100,polyp_pvt,hd95_px_mean,2,6,101,34,-45.56893240703573,-91.66099816706607,0.5231333529946056,-85.19737574538847,-16.817021521744277,0,0.051805015772513126,0.03125,0.03125,F5-HD95,False,45.56893240703573,6,-0.5231333529946056,91.66099816706607,16.817021521744277,85.19737574538847,0.2072200630900525
SLAug,warp_shift_only,polyp_pvt,hd95_px_mean,2,6,101,34,-1.557262904510412,-14.843337760414421,11.728811951393595,-11.477085838191858,8.33040571233413,3,0.7753149389005772,0.84375,0.84375,F5-HD95,False,1.557262904510412,3,-11.728811951393595,14.843337760414421,-8.33040571233413,11.477085838191858,0.7753149389005772
slaug_official_plus_warp,SLAug_official,polyp_pvt,hd95_px_mean,2,6,101,34,-10.744870727257263,-31.758147024029725,10.268405569515197,-28.544803503069893,1.8863294393979946,2,0.245764007478488,0.3125,0.25,F5-HD95,False,10.744870727257263,4,-10.268405569515197,31.758147024029725,-1.8863294393979946,28.544803503069893,0.491528014956976
SLAug,warp_alpha015,polyp_pvt,weighted_fbeta_mean,2,6,101,34,-0.006696834191886436,-0.04242744957207335,0.02903378118830048,-0.051648509730423474,0.039409126377646056,3,0.650301340734417,0.6875,0.71875,F5-Fbw,True,-0.006696834191886436,3,-0.04242744957207335,0.02903378118830048,-0.051648509730423474,0.039409126377646056,0.855503743565341
SLAug,warp_alpha100,polyp_pvt,weighted_fbeta_mean,2,6,101,34,0.14655314528245464,0.09713342919909876,0.19597286136581052,0.10444390587240816,0.19301431819148557,6,0.0006176688230398744,0.03125,0.03125,F5-Fbw,True,0.14655314528245464,6,0.09713342919909876,0.19597286136581052,0.10444390587240816,0.19301431819148557,0.0024706752921594974
SLAug,warp_shift_only,polyp_pvt,weighted_fbeta_mean,2,6,101,34,0.027238222616417094,-0.031285083097590816,0.085761528330425,-0.016525248305446064,0.07025548381442046,4,0.2851679145217803,0.3125,0.28125,F5-Fbw,True,0.027238222616417094,4,-0.031285083097590816,0.085761528330425,-0.016525248305446064,0.07025548381442046,0.855503743565341
slaug_official_plus_warp,SLAug_official,polyp_pvt,weighted_fbeta_mean,2,6,101,34,-0.02081116173940877,-0.07942424695249645,0.03780192347367892,-0.061003280758939724,0.027564967200381124,2,0.40325691098775135,0.5625,0.4375,F5-Fbw,True,-0.02081116173940877,2,-0.07942424695249645,0.03780192347367892,-0.061003280758939724,0.027564967200381124,0.855503743565341
SLAug,warp_alpha015,polyp_pvt,boundary_iou_mean,2,6,101,34,-0.004049886265123493,-0.025621412042772976,0.017521639512525992,-0.03885972189881377,0.03031880759489062,3,0.6497622812712975,0.84375,0.625,F5-BIoU,True,-0.004049886265123493,3,-0.025621412042772976,0.017521639512525992,-0.03885972189881377,0.03031880759489062,0.8145214087599841
SLAug,warp_alpha100,polyp_pvt,boundary_iou_mean,2,6,101,34,0.20452261275036202,0.17682006766121508,0.23222515783950895,0.16346980761790483,0.2403390194934138,6,7.485228371273091e-06,0.03125,0.03125,F5-BIoU,True,0.20452261275036202,6,0.17682006766121508,0.23222515783950895,0.16346980761790483,0.2403390194934138,2.9940913485092363e-05
SLAug,warp_shift_only,polyp_pvt,boundary_iou_mean,2,6,101,34,0.017300560929221147,-0.02360096523992983,0.05820208709837213,-0.012731689231513845,0.048337272457410235,3,0.32651484589064894,0.4375,0.375,F5-BIoU,True,0.017300560929221147,3,-0.02360096523992983,0.05820208709837213,-0.012731689231513845,0.048337272457410235,0.8145214087599841
slaug_official_plus_warp,SLAug_official,polyp_pvt,boundary_iou_mean,2,6,101,34,-0.018859152199925157,-0.05809579099891205,0.020377486599061738,-0.051215857548055625,0.019226083689696513,1,0.27150713625332806,0.3125,0.28125,F5-BIoU,True,-0.018859152199925157,1,-0.05809579099891205,0.020377486599061738,-0.051215857548055625,0.019226083689696513,0.8145214087599841
