n_cells,mean_delta,positive_cells,ci_low,ci_high,paired_t_p,exact_sign_flip_p,cell_deltas_json,contrast_id,evaluation_source,metric,higher_is_better,morphology_group,ci_source,holm_family,paired_t_p_holm_f6
6,0.09731328877887786,6,0.03948868148155267,0.15513789607620304,0.007527458389724214,0.03125,"[0.0999644257425743, 0.06411725742574254, 0.06795647524752474, 0.20400499009900985, 0.09304707920792071, 0.05478950495049506]",sync_no_blend,flat_case,dice_mean,True,hard_flat_IIa,paired_t_6_source_seed_cells,not_recomputed_here,
6,-0.007768777227722752,3,-0.03641145029288962,0.020873895837444117,0.5167443946604187,0.625,"[-0.004142702970296952, 0.0010957029702970411, -0.008454702970296935, -0.05907499009900996, 0.022468603960396072, 0.001495425742574219]",sync_blend,flat_case,dice_mean,True,hard_flat_IIa,paired_t_6_source_seed_cells,"F6-posthoc:sync_blend,blend_paired,interaction",0.5167443946604187
6,0.1293940726072607,6,0.0630440510255205,0.1957440941890009,0.004059036063801153,0.03125,"[0.14607086138613862, 0.09900913861386135, 0.06128385148514842, 0.24483433663366339, 0.1238667722772277, 0.1012994752475248]",blend_unpaired,flat_case,dice_mean,True,hard_flat_IIa,paired_t_6_source_seed_cells,not_recomputed_here,
6,0.02431200660066009,4,-0.009581740421345093,0.05820575362266528,0.1245247343834304,0.125,"[0.04196373267326736, 0.03598758415841585, -0.015127326732673252, -0.01824564356435643, 0.05328829702970306, 0.048005396039603965]",blend_paired,flat_case,dice_mean,True,hard_flat_IIa,paired_t_6_source_seed_cells,"F6-posthoc:sync_blend,blend_paired,interaction",0.2490494687668608
6,-0.10508206600660064,0,-0.188283043257335,-0.02188108875586628,0.022781142420406585,0.03125,"[-0.10410712871287126, -0.0630215544554455, -0.07641117821782167, -0.2630799801980198, -0.07057847524752464, -0.05329407920792084]",interaction,flat_case,dice_mean,True,hard_flat_IIa,paired_t_6_source_seed_cells,"F6-posthoc:sync_blend,blend_paired,interaction",0.06834342726121975
6,0.11356540467836258,6,0.06292989681383665,0.16420091254288852,0.0022054004978180088,0.03125,"[0.0792522280701754, 0.09029772631578936, 0.11307825614035094, 0.20544007368421058, 0.1179811438596492, 0.07534300000000005]",sync_no_blend,flat_case,dice_mean,True,all,paired_t_6_source_seed_cells,not_recomputed_here,
6,-0.0017779046783625296,4,-0.015220868509777826,0.011665059153052767,0.7476932271190702,0.90625,"[-0.0034600140350876663, 0.001441277192982482, 0.009760270175438679, -0.026369273684210492, 0.005220115789473789, 0.0027401964912280308]",sync_blend,flat_case,dice_mean,True,all,paired_t_6_source_seed_cells,"F6-posthoc:sync_blend,blend_paired,interaction",0.7476932271190702
6,0.12749989064327485,6,0.08519992877659535,0.16979985250995436,0.0005724712376119211,0.03125,"[0.11043045263157891, 0.11536720701754377, 0.08965292631578947, 0.2049952245614035, 0.13208390877192988, 0.11246962456140353]",blend_unpaired,flat_case,dice_mean,True,all,paired_t_6_source_seed_cells,not_recomputed_here,
6,0.012156581286549728,4,-0.015421392688710723,0.039734555261810175,0.3085511717841247,0.3125,"[0.027718210526315845, 0.02651075789473689, -0.01366505964912279, -0.02681412280701756, 0.019322880701754475, 0.03986682105263151]",blend_paired,flat_case,dice_mean,True,all,paired_t_6_source_seed_cells,"F6-posthoc:sync_blend,blend_paired,interaction",0.6171023435682494
6,-0.11534330935672511,0,-0.17708849552708555,-0.053598123186364664,0.004875119431212075,0.03125,"[-0.08271224210526307, -0.08885644912280688, -0.10331798596491226, -0.23180934736842107, -0.1127610280701754, -0.07260280350877202]",interaction,flat_case,dice_mean,True,all,paired_t_6_source_seed_cells,"F6-posthoc:sync_blend,blend_paired,interaction",0.014625358293636226
