method,shape,size_bin,mean_delta,n_source_seed_cells
CCSDG,IIa,large,-0.006085771929824568,6
CCSDG,IIa,mid,-0.006083323232323227,6
CCSDG,IIa,small,0.004989578231292526,6
CCSDG,Ip,large,0.007607012820512811,6
CCSDG,Ip,mid,-0.038192750000000004,6
CCSDG,Is,large,0.005624640350877175,6
CCSDG,Is,mid,0.012895098039215716,6
CCSDG,Is,small,-0.0003407333333333244,6
CCSDG,Isp,large,-0.008005972222222268,6
CCSDG,Isp,mid,0.007257129629629655,6
CCSDG,Isp,small,0.01371550000000001,6
CSDG,IIa,large,-0.01688517543859654,6
CSDG,IIa,mid,-0.030938707070707023,6
CSDG,IIa,small,-0.00933584013605443,6
CSDG,Ip,large,-0.00014604487179488887,6
CSDG,Ip,mid,-0.013533416666666678,6
CSDG,Is,large,-0.004641570175438647,6
CSDG,Is,mid,0.0025353888888889156,6
CSDG,Is,small,-0.006510229629629623,6
CSDG,Isp,large,-0.027525041666666677,6
CSDG,Isp,mid,-0.008414388888888865,6
CSDG,Isp,small,-0.0058043333333333,6
DSU,IIa,large,-0.021072824561403542,6
DSU,IIa,mid,-0.02662601515151512,6
DSU,IIa,small,-0.005118289115646231,6
DSU,Ip,large,-0.019253634615384613,6
DSU,Ip,mid,-0.08590441666666666,6
DSU,Is,large,-0.023987609649122776,6
DSU,Is,mid,-0.008329934640522804,6
DSU,Is,small,-0.012427829629629608,6
DSU,Isp,large,-0.0402812638888889,6
DSU,Isp,mid,-0.019613925925925885,6
DSU,Isp,small,-0.004349166666666644,6
MixStyle,IIa,large,-0.0364719649122807,6
MixStyle,IIa,mid,-0.030931914141414125,6
MixStyle,IIa,small,0.01466676530612245,6
MixStyle,Ip,large,0.008916737179487192,6
MixStyle,Ip,mid,-0.0016897500000000083,6
MixStyle,Is,large,-0.01031053508771925,6
MixStyle,Is,mid,0.002021996732026188,6
MixStyle,Is,small,-0.003192948148148115,6
MixStyle,Isp,large,-0.025256263888888908,6
MixStyle,Isp,mid,-0.014214925925925917,6
MixStyle,Isp,small,-0.0110235,6
SLAug,IIa,large,-0.011122859649122832,6
SLAug,IIa,mid,0.03850911111111114,6
SLAug,IIa,small,0.029943469387755117,6
SLAug,Ip,large,-0.027863243589743607,6
SLAug,Ip,mid,-0.06100675,6
SLAug,Is,large,0.0008437982456140358,6
SLAug,Is,mid,0.009123777777777823,6
SLAug,Is,small,-0.0006845703703703224,6
SLAug,Isp,large,-0.015397055555555558,6
SLAug,Isp,mid,0.006410962962962989,6
SLAug,Isp,small,0.05400250000000003,6
fourier_amp_aug,IIa,large,0.007728973684210549,6
fourier_amp_aug,IIa,mid,-0.008268116161616157,6
fourier_amp_aug,IIa,small,0.0057924659863945556,6
fourier_amp_aug,Ip,large,-0.0017858397435897195,6
fourier_amp_aug,Ip,mid,-0.014919416666666649,6
fourier_amp_aug,Is,large,0.005357100877193026,6
fourier_amp_aug,Is,mid,0.0013777450980392292,6
fourier_amp_aug,Is,small,-0.004774470370370358,6
fourier_amp_aug,Isp,large,-0.0005851805555555459,6
fourier_amp_aug,Isp,mid,-0.005302055555555518,6
fourier_amp_aug,Isp,small,0.010527833333333347,6
ibn_whitening,IIa,large,-0.08102486842105262,6
ibn_whitening,IIa,mid,-0.07583789898989894,6
ibn_whitening,IIa,small,0.004292105442176859,6
ibn_whitening,Ip,large,-0.051095698717948744,6
ibn_whitening,Ip,mid,-0.04419383333333332,6
ibn_whitening,Is,large,-0.04254017543859647,6
ibn_whitening,Is,mid,-0.008174366013071865,6
ibn_whitening,Is,small,0.009468677777777768,6
ibn_whitening,Isp,large,-0.05207134722222225,6
ibn_whitening,Isp,mid,-0.030469611111111128,6
ibn_whitening,Isp,small,-0.00273883333333332,6
spectral_consistency,IIa,large,-0.03603148245614037,6
spectral_consistency,IIa,mid,-0.017043767676767668,6
spectral_consistency,IIa,small,0.01158216666666668,6
spectral_consistency,Ip,large,-0.027599025641025676,6
spectral_consistency,Ip,mid,-0.005300000000000009,6
spectral_consistency,Is,large,-0.022204013157894737,6
spectral_consistency,Is,mid,0.0022836666666667393,6
spectral_consistency,Is,small,0.009809551851851839,6
spectral_consistency,Isp,large,-0.026798416666666675,6
spectral_consistency,Isp,mid,0.004504277777777806,6
spectral_consistency,Isp,small,0.019507000000000052,6
spectral_ibn_combo,IIa,large,-0.040901578947368435,6
spectral_ibn_combo,IIa,mid,-0.017989671717171696,6
spectral_ibn_combo,IIa,small,-0.025718414965986387,6
spectral_ibn_combo,Ip,large,-0.006453243589743603,6
spectral_ibn_combo,Ip,mid,0.06499658333333334,6
spectral_ibn_combo,Is,large,-0.0017440526315789888,6
spectral_ibn_combo,Is,mid,-0.002436359477124117,6
spectral_ibn_combo,Is,small,0.0005594962962963135,6
spectral_ibn_combo,Isp,large,-0.011891805555555543,6
spectral_ibn_combo,Isp,mid,-0.005297981481481455,6
spectral_ibn_combo,Isp,small,0.027512666666666685,6
