method,morphology_group,metric,higher_is_better,n_cells,cell_mean,cell_sd,delta_vs_floor,delta_ci_low,delta_ci_high,inference_status
CCSDG,hard_flat_IIa,dice_mean,True,6,0.5754125640180104,0.03116458330563399,-0.0007117691200179502,-0.03849400300974075,0.03707046476970485,descriptive_expanded_boundary
CCSDG,hard_flat_IIa,hd95_px_mean,False,6,97.01748036938535,19.973583242187875,6.151204339821592,-10.119793920591299,22.422202600234485,descriptive_expanded_boundary
CCSDG,hard_flat_IIa,weighted_fbeta_mean,True,6,0.5268043389626624,0.03030318477394192,-0.0052518220622423395,-0.04089353669592825,0.030389892571443568,descriptive_expanded_boundary
CCSDG,hard_flat_IIa,boundary_iou_mean,True,6,0.3573479477521355,0.021570452792606783,0.0006362160555236732,-0.027364395208432465,0.028636827319479814,descriptive_expanded_boundary
CSDG,hard_flat_IIa,dice_mean,True,6,0.5583099616118564,0.039146858520291435,-0.017814371526172008,-0.07453230242594641,0.03890355937360239,descriptive_expanded_boundary
CSDG,hard_flat_IIa,hd95_px_mean,False,6,102.26359206214005,17.50902876128528,11.397316032576285,-4.442253977329258,27.236886042481828,descriptive_expanded_boundary
CSDG,hard_flat_IIa,weighted_fbeta_mean,True,6,0.5133337527326911,0.034071382999920574,-0.01872240829221365,-0.09167095380464192,0.05422613722021462,descriptive_expanded_boundary
CSDG,hard_flat_IIa,boundary_iou_mean,True,6,0.34823516591177794,0.027085114851416164,-0.008476565784833837,-0.06081900746180976,0.04386587589214209,descriptive_expanded_boundary
DSU,hard_flat_IIa,dice_mean,True,6,0.5609774236122901,0.031728161690391735,-0.015146909525738292,-0.06641993840575794,0.03612611935428136,descriptive_expanded_boundary
DSU,hard_flat_IIa,hd95_px_mean,False,6,98.05096490989649,12.516783692157494,7.1846888803327245,-5.982451810830734,20.351829571496182,descriptive_expanded_boundary
DSU,hard_flat_IIa,weighted_fbeta_mean,True,6,0.5182331990264306,0.04107421942501676,-0.013822961998474076,-0.08267322210617192,0.05502729810922377,descriptive_expanded_boundary
DSU,hard_flat_IIa,boundary_iou_mean,True,6,0.3481683023202984,0.026513168492655982,-0.00854342937631336,-0.06098793521184848,0.04390107645922176,descriptive_expanded_boundary
MixStyle,hard_flat_IIa,dice_mean,True,6,0.5662723821254669,0.03405793135274652,-0.009851951012561441,-0.020853028721647966,0.0011491266965250862,descriptive_expanded_boundary
MixStyle,hard_flat_IIa,hd95_px_mean,False,6,100.01300567627256,19.547370303573043,9.146729646708794,0.3978738187302948,17.895585474687294,descriptive_expanded_boundary
MixStyle,hard_flat_IIa,weighted_fbeta_mean,True,6,0.5209106573237556,0.038578795602984016,-0.011145503701149084,-0.025803493120301987,0.003512485718003817,descriptive_expanded_boundary
MixStyle,hard_flat_IIa,boundary_iou_mean,True,6,0.35514236175753494,0.024156327527820882,-0.0015693699390768774,-0.01595856538709993,0.012819825508946173,descriptive_expanded_boundary
SLAug,hard_flat_IIa,dice_mean,True,6,0.6011411539967763,0.0262242552664844,0.02501682085874783,-0.0008349385091919632,0.050868580226687624,descriptive_expanded_boundary
SLAug,hard_flat_IIa,hd95_px_mean,False,6,77.71490460881427,9.773903038352204,-13.151371420749497,-20.124942309599454,-6.17780053189954,descriptive_expanded_boundary
SLAug,hard_flat_IIa,weighted_fbeta_mean,True,6,0.5368384361006918,0.03790270512583065,0.004782275075787092,-0.026950306553577632,0.03651485670515182,descriptive_expanded_boundary
SLAug,hard_flat_IIa,boundary_iou_mean,True,6,0.3610814734918277,0.02997682995715957,0.004369741795215866,-0.023389171397099416,0.03212865498753115,descriptive_expanded_boundary
fourier_amp_aug,hard_flat_IIa,dice_mean,True,6,0.5776870422266853,0.0317093814308396,0.0015627090886570216,-0.06572008147055369,0.06884549964786774,descriptive_expanded_boundary
fourier_amp_aug,hard_flat_IIa,hd95_px_mean,False,6,96.9322976378905,16.10797435415829,6.06602160832674,-19.036247608417458,31.168290825070937,descriptive_expanded_boundary
fourier_amp_aug,hard_flat_IIa,weighted_fbeta_mean,True,6,0.5289792113187145,0.03998786909290666,-0.0030769497061901943,-0.08025010568222843,0.07409620626984803,descriptive_expanded_boundary
fourier_amp_aug,hard_flat_IIa,boundary_iou_mean,True,6,0.3587531387584671,0.028453041606940014,0.0020414070618553584,-0.05631791727743511,0.060400731401145824,descriptive_expanded_boundary
ibn_whitening,hard_flat_IIa,dice_mean,True,6,0.5381856329514922,0.056985976882251724,-0.03793870018653617,-0.11395437436628524,0.0380769739932129,descriptive_expanded_boundary
ibn_whitening,hard_flat_IIa,hd95_px_mean,False,6,107.63707994500031,28.779174477793855,16.770803915436538,-14.986255127184702,48.52786295805778,descriptive_expanded_boundary
ibn_whitening,hard_flat_IIa,weighted_fbeta_mean,True,6,0.49534678064844023,0.04940767532707392,-0.03670938037646448,-0.1225484909145424,0.04912973016161345,descriptive_expanded_boundary
ibn_whitening,hard_flat_IIa,boundary_iou_mean,True,6,0.335622328128854,0.03213906155719242,-0.021089403567757754,-0.07829686368461934,0.03611805654910383,descriptive_expanded_boundary
spectral_consistency,hard_flat_IIa,dice_mean,True,6,0.5693964386243786,0.029109402260481317,-0.006727894513649728,-0.05663301452661753,0.04317722549931808,descriptive_expanded_boundary
spectral_consistency,hard_flat_IIa,hd95_px_mean,False,6,91.280288036098,10.728265786688151,0.41401200653424297,-13.5059303416602,14.333954354728686,descriptive_expanded_boundary
spectral_consistency,hard_flat_IIa,weighted_fbeta_mean,True,6,0.514958462030685,0.04383065721208977,-0.017097698994219646,-0.08843094146651927,0.054235543478079976,descriptive_expanded_boundary
spectral_consistency,hard_flat_IIa,boundary_iou_mean,True,6,0.352187879517668,0.03330946733543305,-0.004523852178943864,-0.0569779138719468,0.047930209514059074,descriptive_expanded_boundary
spectral_ibn_combo,hard_flat_IIa,dice_mean,True,6,0.5500749095644887,0.05709790959935602,-0.026049423573539638,-0.08160682067014048,0.02950797352306121,descriptive_expanded_boundary
spectral_ibn_combo,hard_flat_IIa,hd95_px_mean,False,6,111.14759222994057,36.46280458686752,20.281316200376814,-13.168295327281008,53.73092772803464,descriptive_expanded_boundary
