stratum,candidate,reference,model,metric,source_center,seed,delta,n_cases,n_videos
hard_flat_IIa,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C1,0,0.011514752475247528,101,34
hard_flat_IIa,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C1,1,0.023701405940594066,101,34
hard_flat_IIa,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C1,2,-0.0017710792079207933,101,34
hard_flat_IIa,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C3,0,0.04693440594059405,101,34
hard_flat_IIa,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C3,1,0.0618638316831683,101,34
hard_flat_IIa,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C3,2,0.007857455445544555,101,34
all,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C1,0,0.00369974385964912,285,100
all,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C1,1,0.009092252631578946,285,100
all,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C1,2,-0.016744701754385964,285,100
all,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C3,0,0.01713064912280702,285,100
all,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C3,1,0.03286641403508772,285,100
all,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C3,2,-0.0023865403508771896,285,100
shape_Is,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C1,0,0.002722343283582085,134,49
shape_Is,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C1,1,0.005903402985074624,134,49
shape_Is,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C1,2,-0.012799343283582091,134,49
shape_Is,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C3,0,-0.0010952611940298494,134,49
shape_Is,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C3,1,0.026422731343283587,134,49
shape_Is,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C3,2,-0.000262619402985067,134,49
shape_Isp,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C1,0,0.007643272727272721,22,9
shape_Isp,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C1,1,0.004234545454545438,22,9
shape_Isp,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C1,2,-0.015170818181818172,22,9
shape_Isp,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C3,0,0.014347318181818182,22,9
shape_Isp,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C3,1,-0.007380181818181821,22,9
shape_Isp,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C3,2,-0.023600545454545454,22,9
shape_Ip,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C1,0,-0.02291103571428573,28,8
shape_Ip,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C1,1,-0.024527357142857146,28,8
shape_Ip,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C1,2,-0.0908746785714286,28,8
shape_Ip,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C3,0,-0.0009648571428571324,28,8
shape_Ip,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C3,1,-0.009271464285714277,28,8
shape_Ip,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C3,2,-0.032834428571428584,28,8
size_small,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C1,0,0.023241294736842114,95,40
size_small,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C1,1,0.017828873684210524,95,40
size_small,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C1,2,-0.032265642105263156,95,40
size_small,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C3,0,0.03465709473684211,95,40
size_small,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C3,1,0.03934483157894738,95,40
size_small,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C3,2,0.01132576842105264,95,40
size_mid,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C1,0,-0.0001584105263157916,95,58
size_mid,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C1,1,0.01173341052631579,95,58
size_mid,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C1,2,0.003950421052631582,95,58
size_mid,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C3,0,0.0316897052631579,95,58
size_mid,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C3,1,0.05194957894736841,95,58
size_mid,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C3,2,0.006422568421052633,95,58
size_large,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C1,0,-0.011983652631578955,95,38
size_large,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C1,1,-0.0022855263157894722,95,38
size_large,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C1,2,-0.02191888421052632,95,38
size_large,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C3,0,-0.014954852631578945,95,38
size_large,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C3,1,0.007304831578947369,95,38
size_large,SLAug,strong_aug_floor,polyp_pvt,dice_mean,C3,2,-0.02490795789473684,95,38
